State_Code,State_Debt_Per_Capita,Avg_Muni_Debt_Per_Capita
AL,2450,3800
AK,11200,6100
AZ,2100,3900
AR,1950,2200
CA,4300,10200
CO,3200,9800
CT,11800,4200
DE,6400,2800
FL,1850,5400
GA,1350,3900
HI,7200,5100
ID,1600,1900
IL,5100,9200
IN,2900,3100
IA,2100,2400
KS,2400,4100
KY,3100,8600
LA,3600,3800
ME,3850,2900
MD,4900,6100
MA,11900,3400
MI,3200,3900
MN,2100,4800
MS,2950,2100
MO,2200,4300
MT,3400,2100
NE,1850,4200
NV,2900,8100
NH,2100,2400
NJ,7400,5800
NM,3100,3600
NY,7100,12400
NC,1500,3800
ND,5800,6200
OH,2900,4100
OK,2300,2900
OR,3600,8900
PA,3800,7100
RI,8400,3100
SC,2950,3800
SD,3800,1900
TN,980,2900
TX,1400,10100
UT,2100,3900
VT,4800,2100
VA,3400,4200
WA,4100,11200
WV,3900,2400
WI,2800,3900
WY,1900,1800
